Abeillia,0.0
Abroscopus,0.0
Aburria,1.0
Acanthagenys,0.0
Acanthidops,0.0
Acanthis,0.0
Acanthisitta,0.0
Acanthiza,0.0
Acanthorhynchus,0.0
Acanthornis,0.0
Accipiter,0.13725490196078433
Aceros,0.0
Achaetops,0.0
Acridotheres,0.0
Acritillas,0.0
Acrobatornis,1.0
Acrocephalus,0.0
Acropternis,1.0
Acryllium,0.0
Actenoides,0.0
Actinodura,0.0
Actitis,0.0
Actophilornis,0.0
Adelomyia,1.0
Aechmophorus,0.0
Aegithalos,0.0
Aegithina,0.0
Aegolius,0.2
Aegotheles,0.0
Aegypius,0.0
Aenigmatolimnas,0.0
Aepypodius,0.0
Aerodramus,0.0
Aeronautes,0.6666666666666666
Aethia,0.0
Aethomyias,0.0
Aethopyga,0.0
Afropavo,0.0
Afrotis,0.0
Agamia,1.0
Agapornis,0.0
Agelaioides,1.0
Agelaius,0.0
Agelastes,0.0
Agelasticus,1.0
Aglaeactis,1.0
Aglaiocercus,1.0
Agraphospiza,0.0
Agriornis,1.0
Agropsar,0.0
Ailuroedus,0.0
Aimophila,0.3333333333333333
Aix,0.0
Akialoa,0.0
Akletos,1.0
Alaemon,0.0
Alauda,0.0
Alaudala,0.0
Alca,0.0
Alcedo,0.0
Alcippe,0.0
Aleadryas,0.0
Alectoris,0.0
Alectroenas,0.0
Alectrurus,1.0
Alectura,0.0
Alethe,0.0
Alipiopsitta,1.0
Alisterus,0.0
Alle,0.0
Allenia,0.0
Alophoixus,0.0
Alopochelidon,1.0
Alopochen,0.0
Amadina,0.0
Amalocichla,0.0
Amandava,0.0
Amaurolimnas,1.0
Amaurornis,0.0
Amaurospiza,0.75
Amazilia,0.6129032258064516
Amazona,0.48484848484848486
Amazonetta,1.0
Amblycercus,1.0
Amblyornis,0.0
Amblyospiza,0.0
Amblyramphus,1.0
Ammodramus,0.7777777777777778
Ammomanes,0.0
Ammomanopsis,0.0
Ammonastes,1.0
Ammoperdix,0.0
Ampeliceps,0.0
Ampelioides,1.0
Ampelion,1.0
Ampelornis,1.0
Amphispiza,0.5
Amytornis,0.0
Anabacerthia,1.0
